Adult Mortality,BMI,Polio,Diphtheria,HIV/AIDS,GDP,Thinness age 10-19,Thinness age 5-9,Income composition of resources,Schooling,Life expectancy
268.0,18.1,62.0,64.0,0.1,631.744976,17.7,17.7,0.47,9.9,59.9
272.0,17.6,67.0,67.0,0.1,669.959,17.9,18.0,0.463,9.8,59.5
275.0,17.2,68.0,68.0,0.1,63.537231,18.2,18.2,0.454,9.5,59.2
279.0,16.7,66.0,66.0,0.1,553.32894,18.4,18.4,0.448,9.2,58.8
281.0,16.2,63.0,63.0,0.1,445.8932979,18.6,18.7,0.434,8.9,58.6
287.0,15.7,64.0,64.0,0.1,373.3611163,18.8,18.9,0.433,8.7,58.1
295.0,15.2,63.0,63.0,0.1,369.835796,19.0,19.1,0.415,8.4,57.5
295.0,14.7,58.0,58.0,0.1,272.56377,19.2,19.3,0.405,8.1,57.3
291.0,14.2,58.0,58.0,0.1,25.2941299,19.3,19.5,0.396,7.9,57.3
293.0,13.8,5.0,5.0,0.1,219.1413528,19.5,19.7,0.381,6.8,57.0
295.0,13.4,41.0,41.0,0.1,198.7285436,19.7,19.9,0.373,6.5,56.7
3.0,13.0,36.0,36.0,0.1,187.84595,19.9,2.2,0.341,6.2,56.2
316.0,12.6,35.0,33.0,0.1,117.49698,2.1,2.4,0.34,5.9,55.3
321.0,12.2,24.0,24.0,0.1,114.56,2.3,2.5,0.338,5.5,54.8
84.0,56.5,99.0,99.0,0.1,4414.72314,1.3,1.4,0.759,14.2,77.2
86.0,55.8,99.0,99.0,0.1,4247.61438,1.3,1.4,0.752,14.2,76.9
88.0,55.1,99.0,99.0,0.1,4437.17868,1.4,1.5,0.738,13.3,76.6
91.0,54.3,99.0,99.0,0.1,494.358832,1.4,1.5,0.725,12.5,76.2
91.0,53.5,98.0,98.0,0.1,4114.136545,1.5,1.6,0.721,12.2,76.1
1.0,52.6,99.0,99.0,0.1,437.539647,1.6,1.6,0.713,12.0,75.3
9.0,51.7,99.0,98.0,0.1,363.13685,1.6,1.7,0.703,11.6,75.9
99.0,5.8,97.0,97.0,0.1,35.1293,1.7,1.8,0.696,11.4,74.2
15.0,49.9,97.0,98.0,0.1,279.142931,1.8,1.8,0.685,10.8,73.5
17.0,48.9,98.0,97.0,0.1,2416.588235,1.8,1.9,0.681,10.9,73.0
18.0,47.9,97.0,97.0,0.1,189.681557,1.9,2.0,0.674,10.7,72.8
15.0,46.9,98.0,98.0,0.1,1453.642777,2.0,2.1,0.67,10.7,73.3
14.0,46.0,97.0,97.0,0.1,1326.97339,2.1,2.1,0.662,10.6,73.6
11.0,45.0,97.0,97.0,0.1,1175.788981,2.1,2.2,0.656,10.7,72.6
112.0,57.2,95.0,95.0,0.1,5471.866766,5.9,5.8,0.737,14.4,75.3
113.0,56.1,95.0,95.0,0.1,5564.82566,5.9,5.8,0.732,14.4,75.1
116.0,55.0,95.0,95.0,0.1,5432.2523,5.9,5.8,0.724,14.0,74.9
119.0,53.9,95.0,95.0,0.1,4463.394675,5.9,5.8,0.714,13.6,74.7
123.0,52.8,94.0,95.0,0.1,3868.83123,6.0,5.9,0.705,13.1,74.4
126.0,51.8,92.0,93.0,0.1,495.254866,6.0,5.9,0.697,12.6,74.1
129.0,5.8,95.0,95.0,0.1,3935.183343,6.0,5.9,0.69,12.3,73.8
132.0,49.8,95.0,95.0,0.1,3464.6179,6.1,6.0,0.686,12.3,73.4
136.0,48.9,88.0,88.0,0.1,31.122378,6.1,6.0,0.68,12.0,72.9
14.0,47.9,86.0,86.0,0.1,2598.9823,6.2,6.1,0.673,11.7,72.3
355.0,22.1,67.0,77.0,2.3,484.616884,8.6,8.5,0.523,11.4,51.1
358.0,21.5,75.0,75.0,2.6,4598.249988,8.8,8.6,0.508,10.3,56.0
361.0,21.0,73.0,71.0,2.5,4299.12889,8.9,8.8,0.495,9.4,51.0
365.0,2.4,81.0,77.0,2.5,3529.53482,9.1,9.0,0.488,9.0,49.6
369.0,19.8,63.0,6.0,2.5,3347.84485,9.3,9.2,0.48,8.5,49.1
371.0,19.3,65.0,69.0,2.6,3868.578883,9.5,9.4,0.468,8.1,48.7
375.0,18.8,75.0,73.0,2.6,2878.837144,9.6,9.6,0.454,7.7,48.2
119.0,61.6,99.0,94.0,0.1,12976.63642,1.0,0.9,0.823,17.3,76.0
12.0,61.0,99.0,91.0,0.1,12969.7712,1.0,0.9,0.822,17.2,75.9
12.0,6.4,93.0,91.0,0.1,12726.9836,1.0,0.9,0.816,17.1,75.7
121.0,59.8,95.0,94.0,0.1,1276.265,1.0,0.9,0.802,16.8,75.5
126.0,59.2,97.0,94.0,0.1,8161.36966,1.0,0.9,0.794,16.5,75.6
126.0,58.6,94.0,93.0,0.1,8953.359275,1.0,0.9,0.792,16.3,75.4
129.0,58.0,92.0,91.0,0.1,7193.61764,1.1,0.9,0.788,16.3,74.8
127.0,57.5,92.0,91.0,0.1,5878.76127,1.1,0.9,0.782,16.1,75.2
127.0,56.9,95.0,98.0,0.1,576.883829,1.1,1.0,0.78,16.3,74.9
13.0,56.3,91.0,98.0,0.1,4251.574348,1.1,1.0,0.775,16.3,74.7
137.0,55.7,95.0,96.0,0.1,333.4376,1.2,1.0,0.77,16.4,74.1
138.0,55.1,94.0,93.0,0.1,2579.193168,1.2,1.0,0.776,16.3,74.1
123.0,53.3,96.0,95.0,0.1,3843.591213,2.1,2.1,0.736,12.7,74.4
121.0,52.6,96.0,95.0,0.1,3684.8481,2.0,2.1,0.732,12.7,74.4
128.0,51.9,96.0,95.0,0.1,3526.978143,2.0,2.1,0.729,12.7,73.9
132.0,51.2,96.0,94.0,0.1,3218.381655,2.0,2.1,0.72,12.3,73.5
137.0,5.7,94.0,93.0,0.1,2993.832531,2.0,2.1,0.725,11.9,73.3
14.0,5.1,91.0,89.0,0.1,41.26997,2.0,2.1,0.721,12.3,73.2
132.0,49.7,9.0,88.0,0.1,3138.8873,2.0,2.1,0.707,11.7,73.5
141.0,49.2,87.0,87.0,0.1,2158.299,2.0,2.1,0.692,11.2,72.9
137.0,48.8,92.0,9.0,0.1,1643.758397,2.0,2.1,0.679,10.9,73.0
132.0,48.4,93.0,91.0,0.1,1191.96192,2.0,2.1,0.668,10.9,73.0
134.0,48.1,96.0,94.0,0.1,93.1661567,2.0,2.1,0.657,10.8,72.7
134.0,47.8,96.0,94.0,0.1,783.261699,2.1,2.1,0.645,10.8,72.6
141.0,47.4,97.0,94.0,0.1,694.435119,2.1,2.1,0.644,11.1,72.6
142.0,47.1,96.0,93.0,0.1,622.7427477,2.1,2.2,0.639,11.2,72.0
61.0,65.5,91.0,91.0,0.1,67792.3386,0.6,0.6,0.933,20.3,82.5
61.0,65.0,92.0,92.0,0.1,67677.63477,0.6,0.6,0.93,20.1,82.3
63.0,64.4,92.0,92.0,0.1,62245.129,0.6,0.6,0.927,19.8,82.0
64.0,63.9,92.0,92.0,0.1,51874.848,0.7,0.6,0.927,19.5,81.9
66.0,63.4,92.0,92.0,0.1,42742.99898,0.7,0.6,0.925,19.1,81.7
66.0,62.9,92.0,92.0,0.1,49664.6854,0.7,0.6,0.921,19.1,81.3
66.0,62.5,92.0,92.0,0.1,4991.98289,0.7,0.6,0.918,19.0,81.3
66.0,62.0,92.0,92.0,0.1,36118.28381,0.7,0.6,0.915,20.3,81.2
67.0,61.5,92.0,92.0,0.1,3416.71483,0.7,0.6,0.91,20.3,81.0
69.0,6.9,92.0,92.0,0.1,3472.37977,0.7,0.6,0.908,20.7,86.0
71.0,6.3,92.0,93.0,0.1,23465.38559,0.7,0.7,0.905,20.6,83.0
73.0,59.6,92.0,92.0,0.1,281.81763,0.7,0.7,0.902,20.1,79.9
75.0,59.0,91.0,92.0,0.1,19517.84168,0.7,0.7,0.899,20.5,79.9
68.0,56.6,95.0,95.0,0.1,554.71532,1.8,2.0,0.887,15.7,81.1
7.0,56.1,92.0,92.0,0.1,48333.57273,1.8,2.0,0.884,15.7,88.0
73.0,55.7,89.0,89.0,0.1,51126.74139,1.7,2.0,0.88,15.7,88.0
75.0,55.2,86.0,86.0,0.1,46657.629,1.7,1.9,0.872,15.4,84.0
77.0,54.7,83.0,83.0,0.1,47654.18721,1.7,1.9,0.87,15.3,82.0
76.0,54.2,83.0,83.0,0.1,51386.37665,1.7,1.9,0.864,15.1,84.0
8.0,53.7,85.0,85.0,0.1,46586.6525,1.7,1.9,0.86,15.2,81.0
81.0,53.2,83.0,83.0,0.1,443.99361,1.7,1.9,0.854,15.0,79.8
85.0,52.7,86.0,86.0,0.1,38242.4252,1.7,1.9,0.848,14.9,79.4
86.0,52.2,83.0,83.0,0.1,36693.4262,1.7,1.9,0.841,14.7,79.3
88.0,51.7,84.0,84.0,0.1,3212.9355,1.7,1.9,0.837,14.7,78.8
9.0,51.2,82.0,83.0,0.1,26351.37568,1.7,1.9,0.847,16.1,78.7
92.0,5.6,83.0,84.0,0.1,24489.73553,1.7,1.9,0.837,15.5,78.6
96.0,5.1,71.0,81.0,0.1,24517.26745,1.7,1.9,0.833,15.4,78.1
121.0,5.6,96.0,93.0,0.1,7875.756953,2.8,2.8,0.745,11.9,72.2
123.0,49.7,92.0,89.0,0.1,7496.335728,2.8,2.8,0.742,11.8,71.9
125.0,48.8,91.0,87.0,0.1,7189.691229,2.8,2.9,0.741,11.7,71.6
13.0,48.0,85.0,81.0,0.1,5842.85784,2.8,2.9,0.737,11.7,71.1
132.0,47.3,84.0,81.0,0.1,495.294791,2.8,2.9,0.728,11.6,78.0
141.0,46.6,85.0,81.0,0.1,5574.6382,2.8,2.9,0.719,11.6,73.0
14.0,45.9,81.0,79.0,0.1,3851.437869,2.8,2.9,0.708,11.6,73.0
154.0,45.3,8.0,78.0,0.1,2473.85776,2.9,2.9,0.682,10.7,69.2
162.0,44.7,79.0,75.0,0.1,1578.4239,2.9,3.0,0.675,11.2,68.4
154.0,44.2,78.0,77.0,0.1,145.2163,3.0,3.0,0.668,11.0,68.4
154.0,43.6,79.0,77.0,0.1,883.6439965,3.0,3.0,0.659,10.8,67.8
146.0,43.1,8.0,76.0,0.1,763.73858,3.1,3.1,0.651,10.6,67.8
135.0,17.0,96.0,96.0,0.1,951.8894535,18.3,18.8,0.565,10.0,71.0
137.0,16.4,94.0,94.0,0.1,856.342857,18.5,19.0,0.557,9.9,77.0
14.0,15.8,96.0,96.0,0.1,835.789341,18.7,19.2,0.545,9.4,73.0
142.0,15.2,94.0,94.0,0.1,757.6717572,18.9,19.4,0.535,8.9,69.9
144.0,14.6,97.0,97.0,0.1,681.125368,19.1,19.7,0.523,8.4,69.5
147.0,14.0,96.0,96.0,0.1,615.7775411,19.3,19.9,0.52,8.6,69.1
151.0,13.5,96.0,94.0,0.1,541.651484,19.5,2.1,0.513,8.6,68.6
152.0,13.0,95.0,94.0,0.1,494.51466,19.7,2.3,0.506,8.4,68.2
155.0,12.5,94.0,93.0,0.1,484.155471,19.9,2.5,0.499,8.2,67.8
158.0,12.0,88.0,99.0,0.1,46.7579167,2.1,2.7,0.491,8.1,67.3
161.0,11.6,9.0,87.0,0.1,432.7388972,2.3,2.9,0.484,7.9,66.8
